Player name,Rating,Won,Draw,Lost,Last Online,Joined
ramondador,1338,207,28,203,16-01-2023,06-06-2018
Onmac,1338,39,7,45,16-01-2023,01-11-2022
naingphyojapan,1338,46,4,56,12-10-2021,23-08-2021
Shanatsu96,1338,107,10,71,16-01-2023,22-03-2021
natsumiandersen,1338,74,1,3,23-11-2022,27-01-2021
AniketPanchariya,1338,327,20,257,23-09-2022,23-01-2021
scopfox,1337,235,7,171,16-01-2023,29-01-2011
Jotero_Kujo,1337,122,16,102,15-08-2022,28-02-2017
tagbagtroi,1337,46,5,27,16-01-2023,16-01-2023
Satoru_Uchiha,1337,49,4,34,16-01-2023,03-09-2022
MrsGraejowPumpkin,1337,19,2,7,20-10-2022,12-06-2022
bladesofashina,1337,214,12,127,16-01-2023,20-04-2022
josjapan,1337,234,15,253,16-01-2023,13-07-2014
BloodSz,1337,61,4,45,07-02-2022,10-09-2021
ENDO554,1337,14,4,2,30-08-2022,12-04-2021
Amatuboshi,1337,25,3,27,12-05-2021,20-03-2021
Vansh_Sharma2012,1337,2621,303,2532,16-01-2023,14-03-2021
Jessekillu,1337,1089,54,1019,16-01-2023,18-02-2021
robotopzzz,1337,169,8,113,07-10-2022,30-12-2020
AkihitoKanbara,1336,98,12,91,16-01-2023,10-01-2020
mewewew,1336,131,10,133,16-01-2023,26-01-2018
SausageGod69,1336,383,26,359,16-01-2023,03-05-2017
benihashi,1336,1097,63,1043,16-01-2023,01-05-2016
heripgd,1336,43,0,12,16-01-2023,01-12-2022
bisanpun,1336,23,1,14,20-06-2022,06-06-2022
NATSUKIRENKA,1336,457,16,438,13-07-2021,20-03-2021
tatsukichi,1336,79,4,51,16-01-2023,14-02-2021
Doffy69,1335,70,7,56,05-10-2022,24-11-2020
LunaArya,1335,1016,92,977,16-01-2023,24-10-2020
NaderBlader,1335,147,13,70,16-01-2023,17-10-2020
YOghurtZoo,1335,19,3,7,02-07-2021,12-10-2020
Borids,1335,128,11,69,11-11-2022,04-06-2020
saifkash,1335,773,53,696,16-01-2023,23-12-2017
tharissa,1335,56,2,51,19-03-2021,26-08-2017
nosamj,1335,76,5,69,16-01-2023,02-04-2014
Kwoozi,1335,79,10,52,04-01-2022,06-09-2021
raffae1,1335,706,55,625,16-01-2023,24-02-2021
stregzy,1334,847,103,779,16-01-2023,21-11-2020
hin0,1334,290,25,225,16-01-2023,12-11-2019
SriSup,1334,30,1,36,16-01-2023,16-06-2019
Togo_MGL,1334,308,28,319,16-01-2023,31-10-2017
Ryuzaki_7,1334,73,6,25,16-06-2022,27-04-2022
SamuraiNakamura,1334,49,4,34,22-12-2021,18-11-2021
Sh0vi,1334,99,4,43,16-01-2023,13-09-2021
VeryNiceGood,1334,326,28,283,13-04-2022,04-05-2021
Khim21,1334,38,3,28,26-11-2022,03-04-2021
EB_P0PE,1334,1055,68,962,16-01-2023,03-01-2021
kimototsubasa,1333,465,39,392,24-04-2022,16-10-2020
nashi4,1333,202,14,187,16-01-2023,08-05-2020
Hwhehjsjaj,1333,20,2,17,10-07-2022,30-06-2022
Thuanseko,1333,67,8,79,16-01-2023,27-03-2022
miyu_lyrilily,1333,59,7,21,19-08-2022,01-12-2021
tadashjk,1333,575,44,512,21-11-2022,21-08-2021
Yami099,1333,1174,66,869,16-01-2023,09-06-2021
KK666666,1333,357,67,296,16-01-2023,07-02-2021
Quickpluck,1333,264,17,157,16-01-2023,11-01-2021
Memeycill,1332,67,4,43,16-01-2023,09-07-2020
keyse28,1332,63,6,42,16-01-2023,27-03-2020
yash060601,1332,703,47,672,16-01-2023,09-02-2019
Sakaidatoshi,1332,34,2,21,15-09-2021,08-01-2019
AaronSwaraj,1332,18,1,17,06-12-2022,23-11-2022
quantam12,1332,386,47,343,16-01-2023,08-01-2022
AyanokojiZoldyck,1332,18,1,23,01-10-2021,03-09-2021
ryoutaengnr,1332,46,2,35,30-04-2022,26-05-2021
SeboWalker,1332,37,2,24,16-01-2023,07-10-2013
tsuru2,1332,110,5,107,21-07-2022,28-01-2021
koyapachi,1331,376,21,357,17-08-2022,07-01-2012
kanzouya,1331,32,0,33,16-01-2023,04-05-2017
rampagel,1331,179,12,172,16-01-2023,22-11-2015
SJ1N,1331,42,2,19,16-01-2023,28-07-2022
takuemonn,1331,26,2,20,25-09-2022,18-05-2014
39music,1331,48,2,17,16-01-2023,30-09-2021
calm_mover,1331,1967,160,1968,16-01-2023,11-09-2021
luvlyrooks,1331,135,8,150,16-01-2023,28-03-2021
kayama428,1330,93,5,66,16-01-2023,13-02-2020
kilillan,1330,13,1,10,09-12-2022,19-05-2018
24cb01,1330,70,4,25,16-01-2023,28-05-2016
MadaraUchihaRinnegan,1330,201,15,163,16-01-2023,11-10-2022
JiriYoshida,1330,11,0,14,16-01-2023,17-08-2022
yamagata1,1330,105,7,105,16-01-2023,14-09-2014
